trade_id,action,score,market_regime,profit,TrendAgent,StructureAgent,SmartMoneyAgent,VolatilityAgent,PullbackAgent,TrendAgent_used,StructureAgent_used,SmartMoneyAgent_used,VolatilityAgent_used,PullbackAgent_used,bos_signal,choch_signal,fvg_signal,chan_trend,divergence
201,SHORT,52.0,SIDEWAYS,-11.887831630934295,SHORT,LONG,HOLD,HOLD,SHORT,True,False,False,False,True,,,BEARISH_FVG,BEAR,"{'bull_divergence': np.True_, 'bear_divergence': np.False_}"
217,LONG,100.0,SIDEWAYS,830.2222554397739,LONG,LONG,LONG,LONG,HOLD,True,True,True,True,False,BULLISH,BULLISH_CHOCH,,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.True_}"
383,SHORT,56.0,SIDEWAYS,-22.122595908608346,SHORT,SHORT,HOLD,HOLD,SHORT,True,True,False,False,True,,,,BEAR,"{'bull_divergence': np.True_, 'bear_divergence': np.False_}"
429,LONG,90.0,SIDEWAYS,1145.273886670354,LONG,LONG,HOLD,HOLD,HOLD,True,True,False,False,False,BULLISH,BULLISH_CHOCH,BULLISH_FVG,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
668,SHORT,76.0,SIDEWAYS,-52.13046076933118,SHORT,SHORT,HOLD,HOLD,SHORT,True,True,False,False,True,,,BEARISH_FVG,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
678,LONG,100.0,SIDEWAYS,343.5524045311578,LONG,LONG,HOLD,HOLD,LONG,True,True,False,False,True,BULLISH,BULLISH_CHOCH,BULLISH_FVG,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
784,SHORT,76.0,SIDEWAYS,-27.34226797508015,SHORT,LONG,SHORT,HOLD,SHORT,True,False,True,False,True,,,BEARISH_FVG,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
794,SHORT,60.0,SIDEWAYS,-47.04902475234028,SHORT,SHORT,HOLD,HOLD,HOLD,True,True,False,False,False,BEARISH,,BEARISH_FVG,BULL,"{'bull_divergence': np.True_, 'bear_divergence': np.False_}"
827,LONG,100.0,SIDEWAYS,215.6129177758885,LONG,LONG,LONG,HOLD,LONG,True,True,True,False,True,BULLISH,BULLISH_CHOCH,,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
889,SHORT,52.0,SIDEWAYS,-22.269813136011855,SHORT,SHORT,SHORT,HOLD,SHORT,True,True,True,False,True,,,,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
950,LONG,64.0,SIDEWAYS,57.518160126911596,LONG,LONG,LONG,HOLD,LONG,True,True,True,False,True,,,,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
1033,SHORT,52.0,SIDEWAYS,-16.853161105198538,SHORT,SHORT,HOLD,HOLD,SHORT,True,True,False,False,True,,,,BULL,"{'bull_divergence': np.True_, 'bear_divergence': np.False_}"
1077,SHORT,65.0,SIDEWAYS,56.13760398224015,SHORT,SHORT,SHORT,LONG,HOLD,True,True,True,False,False,BEARISH,,,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
1159,LONG,100.0,SIDEWAYS,-101.59418063181809,LONG,LONG,LONG,HOLD,HOLD,True,True,True,False,False,BULLISH,BULLISH_CHOCH,,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
1221,SHORT,85.0,SIDEWAYS,-154.28934407315975,SHORT,SHORT,SHORT,HOLD,HOLD,True,True,True,False,False,BEARISH,,,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
1263,LONG,100.0,SIDEWAYS,-402.9915591265697,LONG,LONG,LONG,HOLD,HOLD,True,True,True,False,False,BULLISH,BULLISH_CHOCH,,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
1275,SHORT,69.75,SIDEWAYS,-162.04198366287764,SHORT,SHORT,HOLD,LONG,HOLD,True,True,False,False,False,BEARISH,,BEARISH_FVG,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
1317,SHORT,60.6,SIDEWAYS,-35.58442224689213,SHORT,LONG,SHORT,HOLD,SHORT,True,False,True,False,True,,,,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
1362,LONG,79.75,SIDEWAYS,-250.7481436064207,LONG,LONG,HOLD,HOLD,HOLD,True,True,False,False,False,BULLISH,BULLISH_CHOCH,BULLISH_FVG,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.True_}"
1370,SHORT,86.5,SIDEWAYS,1461.6173240015619,SHORT,SHORT,SHORT,LONG,HOLD,True,True,True,False,False,BEARISH,,,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
1526,LONG,99.5,SIDEWAYS,489.2902700762121,LONG,LONG,HOLD,HOLD,HOLD,True,True,False,False,False,BULLISH,BULLISH_CHOCH,,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.True_}"
1645,SHORT,47.6,SIDEWAYS,-32.39204723380611,SHORT,HOLD,HOLD,HOLD,SHORT,True,False,False,False,True,,,,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
1674,LONG,74.5,SIDEWAYS,-317.10604511466056,LONG,LONG,HOLD,HOLD,HOLD,True,True,False,False,False,BULLISH,BULLISH_CHOCH,,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.True_}"
1701,SHORT,100.0,SIDEWAYS,240.31634649918837,SHORT,SHORT,SHORT,HOLD,HOLD,True,True,True,False,False,BEARISH,,BEARISH_FVG,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
1781,LONG,53.2,SIDEWAYS,-60.21106723154832,LONG,LONG,LONG,HOLD,HOLD,True,True,True,False,False,,,,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.True_}"
1803,SHORT,51.4,SIDEWAYS,-59.05672987372275,SHORT,SHORT,HOLD,HOLD,HOLD,True,True,False,False,False,,,BEARISH_FVG,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
1832,SHORT,45.8,SIDEWAYS,30.044416657100452,SHORT,SHORT,HOLD,HOLD,SHORT,True,True,False,False,True,,,,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
1908,SHORT,49.8,SIDEWAYS,-32.38820839082794,SHORT,SHORT,HOLD,HOLD,SHORT,True,True,False,False,True,,,,BULL,"{'bull_divergence': np.True_, 'bear_divergence': np.False_}"
1914,SHORT,69.8,SIDEWAYS,-63.648549803624284,SHORT,SHORT,SHORT,HOLD,HOLD,True,True,True,False,False,,,,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
1947,SHORT,77.25,SIDEWAYS,658.9206436279633,SHORT,SHORT,SHORT,LONG,HOLD,True,True,True,False,False,BEARISH,,,BULL,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
2065,LONG,87.25,SIDEWAYS,-68.75996508821073,LONG,LONG,LONG,HOLD,HOLD,True,True,True,False,False,BULLISH,BULLISH_CHOCH,,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.True_}"
2187,LONG,68.2,SIDEWAYS,-60.42982417653485,LONG,LONG,LONG,HOLD,LONG,True,True,True,False,True,,,BULLISH_FVG,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.True_}"
2200,SHORT,53.8,SIDEWAYS,-47.66943544375124,SHORT,SHORT,HOLD,HOLD,SHORT,True,True,False,False,True,,,,BULL,"{'bull_divergence': np.True_, 'bear_divergence': np.False_}"
2217,LONG,77.2,SIDEWAYS,12.966967180077914,LONG,LONG,LONG,LONG,HOLD,True,True,True,True,False,,,BULLISH_FVG,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.True_}"
2284,LONG,100.0,SIDEWAYS,72.09985901830929,LONG,LONG,LONG,LONG,HOLD,True,True,True,True,False,BULLISH,BULLISH_CHOCH,BULLISH_FVG,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.True_}"
2365,SHORT,100.0,SIDEWAYS,74.89934839534024,SHORT,SHORT,SHORT,HOLD,HOLD,True,True,True,False,False,BEARISH,,BEARISH_FVG,BEAR,"{'bull_divergence': np.False_, 'bear_divergence': np.False_}"
