time,action,bull_score,bear_score,gap,bos,choch,sweep,regime,confidence,pnl,balance
200,SHORT,16.0,52.0,36.0,,,,SIDEWAYS,0.45499999999999996,-11.887831630934295,9988.112168369065
216,LONG,100.0,5.0,95.0,BULLISH,BULLISH_CHOCH,,SIDEWAYS,1.0,830.2222554397739,10818.33442380884
382,SHORT,8.0,56.0,48.0,,,SWEEP_LOW,SIDEWAYS,0.48999999999999994,-22.122595908608346,10796.211827900232
428,LONG,90.0,10.0,80.0,BULLISH,BULLISH_CHOCH,,SIDEWAYS,0.9,1145.273886670354,11941.485714570586
667,SHORT,0.0,76.0,76.0,,,,SIDEWAYS,0.6649999999999999,-52.13046076933118,11889.355253801255
677,LONG,100.0,0.0,100.0,BULLISH,BULLISH_CHOCH,,SIDEWAYS,1.0,343.5524045311578,12232.907658332413
783,SHORT,8.0,76.0,68.0,,,SWEEP_LOW,SIDEWAYS,0.6649999999999999,-27.34226797508015,12205.565390357333
793,SHORT,15.0,60.0,45.0,BEARISH,,,SIDEWAYS,0.6,-47.04902475234028,12158.516365604994
826,LONG,100.0,0.0,100.0,BULLISH,BULLISH_CHOCH,,SIDEWAYS,1.0,215.6129177758885,12374.129283380882
888,SHORT,8.0,52.0,44.0,,,,SIDEWAYS,0.45499999999999996,-22.269813136011855,12351.85947024487
949,LONG,64.0,0.0,64.0,,,,SIDEWAYS,0.5599999999999999,57.518160126911596,12409.377630371782
1032,SHORT,4.0,52.0,48.0,,,,SIDEWAYS,0.45499999999999996,-16.853161105198538,12392.524469266584
1076,SHORT,20.0,65.0,45.0,BEARISH,,,SIDEWAYS,0.65,56.13760398224015,12448.662073248825
1158,LONG,100.0,0.0,100.0,BULLISH,BULLISH_CHOCH,,SIDEWAYS,1.0,-101.59418063181809,12347.067892617006
1220,SHORT,0.0,85.0,85.0,BEARISH,,,SIDEWAYS,0.85,-154.28934407315975,12192.778548543845
1262,LONG,100.0,0.0,100.0,BULLISH,BULLISH_CHOCH,,SIDEWAYS,1.0,-402.9915591265697,11789.786989417276
1274,SHORT,19.25,69.75,50.5,BEARISH,,,SIDEWAYS,0.7,-162.04198366287764,11627.7450057544
